index_MFF start 	 end 	 duration	 mean	 std	 residue	 prompt_rate
153	2861	2891	31	-3.2747	0.052559	0.085636	177257.5484	
154	2892	2906	15	-3.3613	0.059977	0.053958	176824.2667	
155	2907	2946	40	-3.2557	0.061597	0.15177	176682.85	
156	2947	2967	21	-3.1792	0.063919	0.085799	176964.2381	
157	2968	2971	4	-3.3337	0.082831	0.027444	177376.75	
158	2972	2972	1	-3.5685	0	0	174255	
159	2973	2973	1	-3.843	0	0	174012	
160	2974	2975	2	-4.1912	0.14177	0.040198	174007	
161	2976	2976	1	-3.9467	0	0	174268	
162	2977	2977	1	-3.4807	0	0	174824	
163	2978	2989	12	-3.307	0.062661	0.047117	174963	
164	2990	2990	1	-3.5608	0	0	174382	
165	2991	2991	1	-3.8623	0	0	173889	
166	2992	2993	2	-3.6483	0.048103	0.0046278	174404.5	
167	2994	3014	21	-3.4112	0.05818	0.071083	174835.5238	
168	3015	3031	17	-3.345	0.052606	0.047046	174511.2353	
169	3032	3055	24	-3.2197	0.056907	0.077723	174624.4583	
170	3056	3074	19	-3.1085	0.05548	0.058484	174368.8421	
171	3075	3080	6	-3.1938	0.033229	0.0066248	174592.5	
172	3081	3081	1	-3.4975	0	0	173466	
173	3082	3082	1	-5.1753	0	0	170434	
174	3083	3083	1	-5.4596	0	0	170385	
175	3084	3084	1	-4.2287	0	0	173580	
176	3085	3085	1	-3.8133	0	0	173913	
177	3086	3092	7	-3.602	0.067191	0.031602	174742	
178	3093	3102	10	-3.3345	0.075562	0.057096	175161.1	
179	3103	3103	1	-4.3952	0	0	175707	
180	3104	3104	1	-4.9049	0	0	175617	
181	3105	3106	2	-4.0347	0.082355	0.013565	175723.5	
182	3107	3112	6	-3.8333	0.083801	0.042136	175021	
183	3113	3142	30	-3.6554	0.055888	0.093704	175220.9333	
184	3143	3145	3	-3.3002	0.089604	0.024087	174617.6667	
185	3146	3146	1	-3.5165	0	0	175379	
186	3147	3148	2	-3.2292	0.076905	0.011829	175021.5	
187	3149	3150	2	-3.9209	0.086415	0.014935	173504	
188	3151	3152	2	-3.6905	0.011708	0.00027413	173645	
189	3153	3158	6	-3.4455	0.03019	0.0054684	174254.6667	
190	3159	3160	2	-4.987	0.029155	0.0017	170990.5	
191	3161	3161	1	-4.6893	0	0	169880	
192	3162	3162	1	-3.8861	0	0	173984	
193	3163	3166	4	-3.6275	0.064415	0.016597	174295.5	
194	3167	3167	1	-2.895	0	0	176058	
195	3168	3168	1	-3.3654	0	0	174736	
196	3169	3169	1	-2.3827	0	0	172944	
197	3170	3170	1	-2.602	0	0	173153	
198	3171	3171	1	-2.9759	0	0	170904	
199	3172	3172	1	-2.3184	0	0	171619	
200	3173	3189	17	-2.987	0.038445	0.025127	174143.7647	
201	3190	3218	29	-2.8682	0.047681	0.065932	173896.9655	
202	3219	3231	13	-2.8044	0.04652	0.028134	173837.6154	
203	3232	3236	5	-2.9443	0.066278	0.021964	173669.4	
204	3237	3246	10	-3.0358	0.039957	0.015965	173024	
205	3247	3272	26	-2.9457	0.055614	0.080415	173805.6154	
206	3273	3273	1	-3.4479	0	0	173668	
207	3274	3274	1	-4.0571	0	0	174152	
208	3275	3275	1	-3.5028	0	0	173672	
209	3276	3280	5	-3.2412	0.040064	0.0080254	173780.4	
210	3281	3444	164	-3.1227	0.057376	0.53988	173237.7744	
211	3445	3446	2	-3.2499	0.10352	0.021434	172993.5	
212	3447	3447	1	-2.9296	0	0	171891	
213	3448	3448	1	-3.2653	0	0	171232	
214	3449	3449	1	-2.9664	0	0	172905	
215	3450	3530	81	-3.1761	0.058362	0.2759	173957.0123	
216	3531	3543	13	-3.1013	0.057963	0.043677	172776.8462	
217	3544	3629	86	-2.998	0.051958	0.23217	173184.6163	
218	3630	3642	13	-3.1186	0.057276	0.042648	172538.9231	
219	3643	3643	1	-2.9418	0	0	168864	
220	3644	3645	2	-3.3757	0.047069	0.0044309	170591.5	
221	3646	3646	1	-3.6994	0	0	168504	
222	3647	3647	1	-3.4681	0	0	170190	
223	3648	3653	6	-3.2292	0.056155	0.018921	171769.8333	
224	3654	3666	13	-3.1319	0.069746	0.063238	171362	
225	3667	3668	2	-3.7252	0.076723	0.011773	170081.5	
226	3669	3670	2	-3.409	0.0036055	2.6e-05	169479.5	
227	3671	3672	2	-2.6366	0.11021	0.024294	168702.5	
228	3673	3675	3	-2.8549	0.059586	0.010651	170050	
229	3676	3690	15	-3.2001	0.056278	0.047508	171321.6667	
230	3691	3761	71	-3.282	0.055302	0.21714	170678.4507	
231	3762	3903	142	-3.2519	0.059234	0.49823	169711.0493	
232	3904	3907	4	-3.3332	0.092512	0.034234	168975	
233	3908	3910	3	-3.5252	0.048352	0.0070138	170304.3333	
234	3911	3911	1	-3.718	0	0	168732	
235	3912	4176	265	-3.2813	0.063793	1.0784	167981.517	
236	4177	4201	25	-3.2274	0.059877	0.08963	166231.04	
237	4202	4258	57	-3.2681	0.064548	0.23749	165601.0877	
238	4259	4274	16	-3.2114	0.071047	0.080763	165567.875	
239	4275	4275	1	-3.6788	0	0	165390	
240	4276	4276	1	-4.0707	0	0	164959	
241	4277	4277	1	-3.8468	0	0	165377	
242	4278	4279	2	-3.5567	0.015003	0.0004502	165060	
243	4280	4287	8	-3.3209	0.08401	0.056461	165538.625	
244	4288	4352	65	-3.2218	0.058476	0.22226	165005.8923	
245	4353	4366	14	-3.1759	0.06581	0.060633	164503.5714	
246	4367	4368	2	-3.4158	0.023354	0.0010908	165121.5	
247	4369	4375	7	-3.065	0.061101	0.026134	162412.5714	
248	4376	4399	24	-3.2905	0.07235	0.12563	164994.0833	
249	4400	4412	13	-3.1677	0.044964	0.026283	165284.5385	
250	4413	4456	44	-3.1151	0.055404	0.13506	164866.5909	
251	4457	4460	4	-3.3492	0.051371	0.010556	163739.75	
252	4461	4530	70	-3.1587	0.051307	0.18427	164163.4429	
253	4531	4531	1	-2.9078	0	0	163737	
254	4532	4543	12	-3.0836	0.046628	0.02609	163804.9167	
255	4544	4547	4	-3.2066	0.022774	0.0020746	163793.5	
256	4548	4565	18	-3.1032	0.05723	0.058954	163467.1667	
257	4566	4570	5	-3.5866	0.071372	0.02547	163349.8	
258	4571	4583	13	-3.3114	0.064168	0.053528	163187.7692	
259	4584	4593	10	-3.2283	0.052673	0.027745	163126.1	
260	4594	4598	5	-3.3241	0.022412	0.0025115	162944.6	
261	4599	4676	78	-3.2092	0.054949	0.23551	162752.2308	
262	4677	4677	1	-3.8819	0	0	163022	
263	4678	4678	1	-5.0426	0	0	162955	
264	4679	4680	2	-4.3748	0.11554	0.0267	162681	
265	4681	4682	2	-3.7115	0.11227	0.02521	162512	
266	4683	4689	7	-3.4682	0.060761	0.025843	162377.2857	
267	4690	4714	25	-3.2078	0.057385	0.082327	161612.68	
268	4715	4718	4	-2.9273	0.12295	0.060469	160219	
269	4719	4739	21	-3.061	0.08288	0.14425	161323.4762	
270	4740	4777	38	-3.2588	0.064333	0.15727	159560.1053	
271	4778	4800	23	-3.2157	0.072449	0.12072	158858.3043	
272	4801	4801	1	-2.274	0	0	157115	
273	4802	4802	1	-1.7207	0	0	156252	
274	4803	4803	1	-1.2812	0	0	155384	
275	4804	4804	1	-1.8217	0	0	156773	
276	4805	4805	1	-2.6169	0	0	157397	
277	4806	4806	1	-2.8925	0	0	157165	
278	4807	4812	6	-3.2854	0.049913	0.014948	157696	
279	4813	4813	1	-2.5095	0	0	144148	
280	4814	4817	4	-3.5889	0.056465	0.012753	156964	
281	4818	4865	48	-3.442	0.068422	0.22471	157107.9792	
282	4866	4867	2	-3.742	0.059234	0.0070174	155956	
283	4868	4895	28	-3.4897	0.059462	0.099	156506.4286	
284	4896	4983	88	-3.4436	0.060695	0.32418	155704.7159	
285	4984	4984	1	-3.163	0	0	155252	
286	4985	5054	70	-3.4501	0.061284	0.2629	154607.2571	
287	5055	5110	56	-3.2555	0.070852	0.28112	153355.875	
288	5111	5122	12	-3.1418	0.048082	0.027743	152440.0833	
289	5123	5165	43	-3.2291	0.056012	0.1349	152348.9535	
290	5166	5238	73	-3.1173	0.059155	0.25545	151632.9726	
291	5239	5293	55	-3.087	0.058189	0.18623	150834.0364	
292	5294	5295	2	-2.9321	0.034979	0.0024471	150433	
293	5296	5302	7	-3.0658	0.057736	0.023334	150152.4286	
294	5303	5332	30	-3.1841	0.059797	0.10727	150126.7667	
295	5333	5343	11	-3.0614	0.050405	0.027947	149975.0909	
296	5344	5344	1	-2.8169	0	0	149389	
297	5345	5356	12	-2.4556	0.051446	0.03176	148796.9167	
